 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  10/13/2017 13:14:51                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


16 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000038 0x004D8AA8 0x0000000C 0x004D8A98 0x0000002C 0x00000000 new         N       N    ??(00000)::??
000012 0x004D8CB8 0x00000008 0x004D8CA8 0x00000028 0x00000000 new         N       N    ??(00000)::??
000018 0x004D8D10 0x00000008 0x004D8D00 0x00000028 0x00000000 new         N       N    ??(00000)::??
000044 0x03B89190 0x0000006C 0x03B89180 0x0000008C 0x00000000 new         N       N    ??(00000)::??
000011 0x004D9878 0x000001A4 0x004D9868 0x000001C4 0x00000018 new         N       N    ??(00000)::??
000017 0x004DA208 0x000003B0 0x004DA1F8 0x000003D0 0x00000064 new         N       N    ??(00000)::??
000040 0x043CA480 0x00000018 0x043CA470 0x00000038 0x00000000 new         N       N    ??(00000)::??
000041 0x043CA4E8 0x00000018 0x043CA4D8 0x00000038 0x00000000 new         N       N    ??(00000)::??
000039 0x043CA828 0x00000018 0x043CA818 0x00000038 0x00000000 new         N       N    ??(00000)::??
000042 0x043CAC38 0x00000018 0x043CAC28 0x00000038 0x00000000 new         N       N    ??(00000)::??
000043 0x043CAD70 0x00000018 0x043CAD60 0x00000038 0x00000000 new         N       N    ??(00000)::??
000045 0x043CAE40 0x00000018 0x043CAE30 0x00000038 0x00000000 new         N       N    ??(00000)::??
000046 0x043CAFE0 0x00000018 0x043CAFD0 0x00000038 0x00000000 new         N       N    ??(00000)::??
000023 0x004AB290 0x00000010 0x004AB280 0x00000030 0x00000000 new         N       N    ??(00000)::??
000021 0x004AB350 0x00000010 0x004AB340 0x00000030 0x00000000 new         N       N    ??(00000)::??
000022 0x004AB530 0x00000010 0x004AB520 0x00000030 0x00000000 new         N       N    ??(00000)::??
