 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  09/26/2017 22:42:09                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


14 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000038 0x049DA738 0x00000008 0x049DA728 0x00000028 0x00000000 new         N       N    ??(00000)::??
000008 0x0145BB70 0x000001A0 0x0145BB60 0x000001C0 0x00000018 new         N       N    ??(00000)::??
000020 0x0143CDD0 0x00000010 0x0143CDC0 0x00000030 0x00000000 new         N       N    ??(00000)::??
000018 0x0143D000 0x00000010 0x0143CFF0 0x00000030 0x00000000 new         N       N    ??(00000)::??
000019 0x0143D0E0 0x00000010 0x0143D0D0 0x00000030 0x00000000 new         N       N    ??(00000)::??
000030 0x0143D310 0x0000000C 0x0143D300 0x0000002C 0x00000000 new         N       N    ??(00000)::??
000016 0x014BDD08 0x000003AC 0x014BDCF8 0x000003CC 0x00000064 new         N       N    ??(00000)::??
000032 0x049CE2A0 0x00000018 0x049CE290 0x00000038 0x00000000 new         N       N    ??(00000)::??
000031 0x049CE3E0 0x00000018 0x049CE3D0 0x00000038 0x00000000 new         N       N    ??(00000)::??
000033 0x049CE420 0x00000018 0x049CE410 0x00000038 0x00000000 new         N       N    ??(00000)::??
000036 0x049CEAA0 0x00000018 0x049CEA90 0x00000038 0x00000000 new         N       N    ??(00000)::??
000037 0x049CEAE0 0x00000018 0x049CEAD0 0x00000038 0x00000000 new         N       N    ??(00000)::??
000035 0x049CEB20 0x00000018 0x049CEB10 0x00000038 0x00000000 new         N       N    ??(00000)::??
000034 0x049CEEA0 0x00000018 0x049CEE90 0x00000038 0x00000000 new         N       N    ??(00000)::??
